,Open,High,Low,Close,ma_diff,sar_diff,trend
05-05-2022 19:00,36412.4609375,36427.50390625,35856.515625,36301.578125,-1903.288319491905,,Downtrend
05-05-2022 20:00,36304.71875,36430.07421875,36213.4296875,36430.07421875,-1829.0321032475767,-436.8819350249978,Downtrend
05-05-2022 21:00,36435.32421875,36592.2109375,36384.859375,36491.51953125,-1711.5482919574279,-349.5055480200026,Downtrend
05-05-2022 22:00,36484.32421875,36485.57421875,36302.234375,36302.953125,-1631.246937684562,-279.6044384159977,Downtrend
05-05-2022 23:00,36292.68359375,36574.79296875,36277.79296875,36574.79296875,-1466.3018107958633,-223.68355073279963,Downtrend
06-05-2022 00:00,36573.18359375,36624.359375,36358.6015625,36385.26953125,-1365.3864634805868,-894.7342029312058,Downtrend
06-05-2022 01:00,36397.34765625,36416.62890625,36269.17578125,36315.12109375,-1277.8732958227847,15.356874999997672,Downtrend
06-05-2022 02:00,36319.328125,36540.15625,36316.97265625,36450.62109375,-1152.258264669741,15.049737499997718,Downtrend
06-05-2022 03:00,36450.36328125,36476.109375,36390.64453125,36421.015625,-1046.9597617823529,14.748742750001838,Downtrend
06-05-2022 04:00,36429.22265625,36461.609375,36355.3984375,36392.46484375,-957.0073663135408,14.453767895000055,Downtrend
06-05-2022 05:00,36397.171875,36495.6640625,36397.171875,36491.84375,-848.7075352946194,14.164692537102383,Downtrend
06-05-2022 06:00,36494.05078125,36533.8359375,36431.7734375,36432.65234375,-770.5339233016275,13.881398686360626,Downtrend
06-05-2022 07:00,36432.87890625,36446.97265625,35962.84765625,36373.41796875,-713.0236141375499,13.603770712630649,Downtrend
06-05-2022 08:00,36370.44140625,36401.6484375,36234.80078125,36265.5859375,-681.3734790937378,5.073046168909059,Downtrend
06-05-2022 09:00,36258.83203125,36391.88671875,36199.453125,36391.88671875,-610.5804027667182,0.0,Downtrend
06-05-2022 10:00,36393.671875,36409.37890625,35928.79296875,35928.79296875,-658.7567288625869,661.51171875,Downtrend
06-05-2022 11:00,35937.2734375,36030.6796875,35714.3046875,35849.22265625,-685.8478657104861,-13.91132812500291,Downtrend
06-05-2022 12:00,35852.01171875,36264.046875,35758.55859375,35890.48046875,-670.5923146200003,-35.845734374997846,Downtrend
06-05-2022 13:00,35899.234375,36008.0625,35482.1328125,35673.21484375,-691.8318194504973,-34.41190500000084,Downtrend
06-05-2022 14:00,35685.0390625,36112.72265625,35685.0390625,36112.72265625,-578.0353171831593,-63.48345569999947,Downtrend
06-05-2022 15:00,36138.08203125,36357.75,36014.9609375,36048.84375,-506.2550929486315,-59.67444835799688,Downtrend
06-05-2022 16:00,36035.3984375,36212.84375,35985.94921875,36212.84375,-407.8398753802321,-56.09398145652085,Downtrend
06-05-2022 17:00,36215.64453125,36216.953125,35928.6171875,35940.65234375,-400.3384956245209,-3.188521985481202,Downtrend
06-05-2022 18:00,35941.8984375,36055.57421875,35887.8828125,36030.67578125,-361.67054349014506,-52.537031250001746,Downtrend
06-05-2022 19:00,36023.3984375,36133.93359375,35897.0859375,36008.78515625,-332.0774658221053,-49.38480937499844,Downtrend
06-05-2022 20:00,36013.05859375,36101.62890625,35899.015625,36098.34765625,-282.36112640893407,-46.42172081249737,Downtrend
06-05-2022 21:00,36091.09375,36094.84375,35948.96484375,35983.3125,-270.7989707459419,-43.63641756375,Downtrend
